file,bead_number,start_index,end_index,is_test,Logistic Regression_Prediction,Logistic Regression_Correct,Random Forest_Prediction,Random Forest_Correct,SVM_Prediction,SVM_Correct,XGBoost_Prediction,XGBoost_Correct,KNN_Prediction,KNN_Correct,Neural Network_Prediction,Neural Network_Correct,HistGradientBoosting_Prediction,HistGradientBoosting_Correct
112332_BM4A2NE1T220810Y0194.csv,25,125574,127048,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,26,127196,128670,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,27,128815,130289,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,28,130451,131925,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,29,132101,133575,True,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,30,133729,135203,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,31,135348,136822,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,32,148274,151601,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,33,151743,155070,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,34,165781,169107,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,35,169263,172589,True,2.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,1,9207,13199,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,2,13383,17375,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,3,17523,21515,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,4,40306,43633,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
